Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.12.2021,13531,23535,3003,525,86490,1346,240
02.12.2021,13777,22893,2992,509,93500,1279,222
03.12.2021,13206,22765,2764,436,84942,1196,200
04.12.2021,6622,9274,2926,279,50141,690,68
05.12.2021,4478,9082,1660,239,29702,429,52
06.12.2021,8655,22878,1349,467,70934,716,200
07.12.2021,9371,26804,2998,450,83852,809,175
08.12.2021,12376,24547,2449,465,79642,1078,194
09.12.2021,11327,24456,2551,442,71780,1010,214
10.12.2021,10133,25861,2307,446,84200,991,199
11.12.2021,5275,11626,2566,238,44861,526,53
12.12.2021,4073,9966,1456,188,29677,377,37
13.12.2021,7283,27130,1123,387,62044,566,134
14.12.2021,8109,26307,2280,356,79090,707,182
15.12.2021,9590,25499,2089,355,74231,864,115
16.12.2021,8899,21650,2028,328,77707,779,98
