Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.02.2022,35014,9894,4314,204,185297,4190,940
02.02.2022,39620,9380,4136,210,190635,4446,1035
03.02.2022,43778,9497,4328,174,174221,4381,873
04.02.2022,42553,9628,3918,185,164456,4268,920
05.02.2022,27851,6089,4219,109,118699,2597,431
06.02.2022,23378,5024,2699,115,74083,2242,294
07.02.2022,34353,15193,2168,255,131881,3095,955
08.02.2022,38257,17063,4385,240,177012,3308,1076
09.02.2022,41694,16628,4128,280,157551,3486,1101
10.02.2022,41229,20850,3936,236,154597,3369,1247
11.02.2022,38212,19943,3753,265,139475,3029,864
12.02.2022,24518,8288,3935,140,87394,1961,329
13.02.2022,16993,9338,2270,142,60375,1447,252
14.02.2022,29724,23235,1889,305,111624,2393,884
