Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.01.2022,1863,2259,0,98,20588,108,12
02.01.2022,1804,2537,1168,114,17437,97,24
03.01.2022,1746,3629,970,135,25762,87,21
04.01.2022,4571,8439,1366,273,65768,210,112
05.01.2022,6632,9121,2028,187,70059,240,182
06.01.2022,7177,5595,1866,192,75596,364,203
07.01.2022,3195,1942,1752,76,29287,151,37
08.01.2022,2810,2818,840,75,37075,163,33
09.01.2022,1969,3517,1064,86,24283,94,41
10.01.2022,5429,7761,915,219,65191,306,168
11.01.2022,7117,8077,1898,193,79278,409,160
12.01.2022,10046,7202,1676,191,79047,590,255
13.01.2022,10476,7285,1656,140,79066,663,241
14.01.2022,10569,6172,1682,127,76948,727,229
15.01.2022,6379,2359,1957,88,43701,503,92
16.01.2022,5072,2520,1213,78,35464,407,72
17.01.2022,8558,5761,1125,188,79696,811,304
18.01.2022,12815,5413,2401,163,97644,1422,464
19.01.2022,18479,4446,2151,131,111137,2044,492
20.01.2022,20156,4486,2226,150,109562,2464,429
21.01.2022,22473,4610,2608,136,114648,2838,535
22.01.2022,15444,2030,2774,86,78852,2298,264

