Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.07.2021,696,1197,439,33,44088,36,33
02.07.2021,705,1072,420,36,43004,27,22
03.07.2021,377,526,460,10,27979,11,5
04.07.2021,244,419,333,14,17351,0,5
05.07.2021,541,1086,266,20,40517,26,11
06.07.2021,610,1666,458,33,46168,40,20
07.07.2021,617,872,404,23,40893,26,18
08.07.2021,655,885,369,12,41607,31,37
09.07.2021,507,809,364,20,40197,41,33
10.07.2021,290,374,374,5,25356,23,7
11.07.2021,174,236,266,7,16685,16,1
12.07.2021,481,750,249,36,41120,28,11
13.07.2021,547,797,409,25,43649,34,23
14.07.2021,623,589,387,20,42228,37,12
15.07.2021,481,750,249,36,41120,28,11
16.07.2021,591,676,422,17,41372,50,16
17.07.2021,229,241,382,8,26082,27,4
18.07.2021,182,187,307,5,16970,11,0
19.07.2021,598,540,279,25,42411,23,13
20.07.2021,655,577,508,13,43503,37,18
21.07.2021,726,501,402,21,43267,54,22
22.07.2021,763,639,639,21,40057,57,15
23.07.2021,745,394,395,24,39142,51,20
24.07.2021,286,159,422,12,26197,19,2
25.07.2021,213,170,256,2,15795,11,0
26.07.2021,681,515,266,27,44739,37,5
27.07.2021,717,459,507,15,46244,36,97
28.07.2021,846,510,480,25,42504,60,41
29.07.2021,962,504,488,14,41328,51,49
30.07.2021,916,510,486,15,42546,61,43
31.07.2021,484,131,473,6,26450,16,7
