Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.06.2021,2205,9405,1262,158,64876,104,85
02.06.2021,2581,9519,1059,102,58729,122,129
03.06.2021,2266,8291,963,95,61321,82,20
04.06.2021,1897,8330,1065,86,60421,91,65
05.06.2021,937,4516,994,42,32269,50,28
06.06.2021,535,1743,601,33,17591,30,61
07.06.2021,1602,6751,483,118,57556,95,94
08.06.2021,1385,6962,756,77,60620,57,74
09.06.2021,1785,6513,741,97,59421,77,73
10.06.2021,1603,5583,762,70,55342,75,72
11.06.2021,1274,4905,709,69,54821,40,53
12.06.2021,857,1652,684,33,31257,37,17
13.06.2021,420,3328,464,13,17856,32,2
14.06.2021,1014,5511,401,77,54732,43,51
15.06.2021,1045,4802,699,78,58853,46,23
16.06.2021,1188,4682,601,55,55296,62,6
17.06.2021,967,2312,585,50,51199,32,6
18.06.2021,852,2736,571,40,49630,23,41
19.06.2021,479,755,544,24,25337,15,6
20.06.2021,323,677,375,16,14098,15,0
21.06.2021,296,829,318,21,17429,22,2
22.06.2021,835,2292,419,70,48197,33,25
23.06.2021,937,2471,559,58,54343,33,24
24.06.2021,876,2405,489,53,45720,36,32
25.06.2021,756,1835,526,35,45863,29,12
26.06.2021,450,1097,529,17,25828,28,6
27.06.2021,285,723,384,9,19477,19,3
28.06.2021,182,582,322,5,16675,10,3
29.06.2021,633,2294,360,40,45794,31,19
30.06.2021,705,1719,464,51,49038,28.18
