Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.05.2021,5091,5784,3199,160,43405,219,81
02.05.2021,2758,5550,1591,154,16023,116,23
03.05.2021,2472,7815,1325,166,17549,122,22
04.05.2021,2576,7728,1671,161,29154,103,30
05.05.2021,6038,14351,1849,374,72373,271,113
06.05.2021,8404,19453,3080,379,94479,353,185
07.05.2021,8710,19408,2544,370,87641,374,193
08.05.2021,5327,9181,2599,193,46516,244,57
09.05.2021,2817,9002,1414,119,21883,159,31
10.05.2021,2208,8617,1084,119,21974,89,34
11.05.2021,4538,19766,1349,356,71383,180,142
12.05.2021,6813,19507,2569,346,89490,289,160
13.05.2021,7562,15958,2195,287,79452,336,216
14.05.2021,6796,17202,2197,322,76496,347,233
15.05.2021,3620,7921,2208,133,38911,172,60
16.05.2021,2136,6869,1260,109,17306,104,47
17.05.2021,4095,17751,999,285,61110,235,162
18.05.2021,5138,17102,2269,227,77685,260,187
19.05.2021,5165,16748,1884,203,69732,324,109
20.05.2021,4984,12845,1785,202,62577,278,97
21.05.2021,4606,12586,1665,178,62750,269,108
22.05.2021,2533,8937,1701,89,34506,153,31
23.05.2021,1334,6999,1019,69,16097,86,21
24.05.2021,2608,17504,854,249,52279,129,76
25.05.2021,3395,14987,1778,208,71988,154,73
26.05.2021,3509,16867,1402,183,67564,193,82
27.05.2021,3306,13298,1402,156,60563,169,77
28.05.2021,3096,10199,1309,156,57384,144,55
29.05.2021,1703,5733,1330,84,32490,85,10
30.05.2021,1022,4934,810,64,16224,58,11
31.05.2021,2137,12085,579,163,51964,91,56
