Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.11.2021,19455,12639,3188,700,133592,1263,339
02.11.2021,23393,11937,5935,720,157503,1406,421
03.11.2021,27377,12464,5472,699,155405,1787,426
04.11.2021,26488,13281,5497,696,148001,1654,488
05.11.2021,25063,11817,5057,793,149446,1541,398
06.11.2021,17419,8520,5652,449,96600,1119,195
07.11.2021,13068,8200,3532,473,63858,790,145
08.11.2021,18988,16609,2967,833,127461,1183,426
09.11.2021,23283,16277,5696,816,146589,1539,529
10.11.2021,24747,18896,4778,652,140505,1550,462
11.11.2021,24058,21941,4318,750,128108,1616,468
12.11.2021,23572,25415,4564,695,126841,1622,436
13.11.2021,14490,11146,4881,403,77713,1069,135
14.11.2021,10802,11219,2798,442,50591,764,132
15.11.2021,16308,21914,2264,838,112896,1168,327
16.11.2021,18668,20211,4468,769,118797,1312,403
17.11.2021,20591,19633,3907,752,114199,1478,377
18.11.2021,20050,22304,3637,725,111735,1555,331
19.11.2021,18250,21979,3594,664,99130,1463,380
20.11.2021,10630,14450,4048,377,66272,894,99
21.11.2021,7464,10540,2501,326,37163,579,74
22.11.2021,12729,23107,2055,720,85820,1058,231
23.11.2021,14325,29044,4077,595,108827,1183,287
24.11.2021,16943,26811,3404,628,102899,1451,304
25.11.2021,15936,24569,3208,608,93059,1394,303
26.11.2021,14200,22946,3305,568,95515,1296,212
27.11.2021,7483,10270,3456,400,54224,774,105
28.11.2021,5804,10477,2082,297,32694,530,72
29.11.2021,10554,25318,1749,561,79126,846,197
30.11.2021,11960,26160,3629,557,103312,1088,207
