Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.10.2021,11809,3469,2692,203,91103,1104,235
02.10.2021,7967,1483,3300,126,53814,822,88
03.10.2021,4821,1116,2092,114,30587,448,50
04.10.2021,9846,4229,1881,317,74125,918,207
05.10.2021,12662,4630,3741,320,135559,1186,271
06.10.2021,15125,4380,3541,314,113077,1421,341
07.10.2021,16362,4720,3526,241,106869,1553,431
08.10.2021,15908,5364,3571,250,106029,1477,298
09.10.2021,11344,2581,3712,162,67392,1149,122
10.10.2021,8832,2053,2627,207,52064,863,78
11.10.2021,11996,5419,2274,352,93732,1262,227
12.10.2021,16309,6462,4901,471,118762,1588,288
13.10.2021,18881,7630,4633,412,117246,1748,368

