Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.04.2021,19893,10287,5040,433,128727,834,484
02.04.2021,20341,9166,5186,396,128492,809,473
03.04.2021,13738,4657,5545,258,75538,504,216
04.04.2021,10179,4946,3275,254,34666,431,152
05.04.2021,13276,10240,2545,430,91978,508,338
06.04.2021,15415,11472,5587,481,140224,636,437
07.04.2021,19419,10032,5092,464,128440,766,480
08.04.2021,19676,11221,4936,419,119369,751,552
09.04.2021,17463,10722,4709,398,122181,684,394
10.04.2021,12112,5034,4694,235,72551,524,181
11.04.2021,7856,5355,2770,287,40109,355,119
12.04.2021,11680,14019,2334,457,83975,501,366
13.04.2021,14553,12384,5063,467,134342,612,426
14.04.2021,16427,11148,4229,433,119615,628,383
15.04.2021,17479,12054,4348,438,109584,709,378
16.04.2021,14984,9736,4100,440,105215,606,276
17.04.2021,10282,6523,4274,250,60380,456,161
18.04.2021,6506,5598,2387,214,27488,253,98
19.04.2021,8940,12075,2042,367,77678,414,251
20.04.2021,12162,14720,4411,429,109007,532,326
21.04.2021,16235,18831,3904,470,101981,663,319
22.04.2021,14277,18964,3728,434,95740,591,277
23.04.2021,12711,13687,3508,392,92136,532,230
24.04.2021,7930,6574,3688,231,54270,331,98
25.04.2021,5062,6910,2061,195,25248,221,54
26.04.2021,7915,17391,1650,432,72239,336,202
27.04.2021,9590,20062,3623,441,99112,451,217
28.04.2021,11627,18442,3096,387,93463,518,259
29.04.2021,10072,20192,3117,307,90101,391,188
30.04.2021,8549,14956,3051,351,83336,374,145
