Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.02.2021,2394,11457,833,156,31620,117,213
02.02.2021,3285,10101,2159,165,43643,156,186
03.02.2021,5082,9933,1893,140,42112,258,220
04.02.2021,4923,8185,1885,158,43137,230,222
05.02.2021,4310,7158,1884,129,41410,220,191
06.02.2021,3370,2297,1869,81,19500,188,96
07.02.2021,2141,2697,1020,47,13662,130,71
08.02.2021,2656,8865,865,127,30901,157,229
09.02.2021,3409,7768,2046,163,43767,244,298
10.02.2021,5039,6568,1784,124,43126,277,281
11.02.2021,4773,7211,2000,116,40899,326,212
12.02.2021,5182,6144,1889,111,40806,330,226
13.02.2021,3094,2002,1917,45,19211,183,72
14.02.2021,2332,2478,1145,62,13740,160,47
15.02.2021,3143,6189,915,150,39401,182,179
16.02.2021,4286,5927,2330,147,64842,304,329
17.02.2021,6237,5225,2222,163,64688,413,276,
18.02.2021,6531,5857,2304,120,61215,418,285
19.02.2021,6295,4539,2225,73,67017,429,223
20.02.2021,4489,1557,2445,58,37399,323,133
21.02.2021,3206,1353,1443,53,20183,216,78
22.02.2021,4182,4351,1236,153,49600,252,219
23.02.2021,5850,3645,3049,152,79538,316,271
24.02.2021,8147,3889,2770,135,86926,483,301
25.02.2021,8003,4224,2762,146,78264,475,312
26.02.2021,8172,4766,2806,151,78040,519,292
27.02.2021,5833,1702,3218,89,47811,795,146
28.02.2021,4285,1701,1779,68,23066,258,93
