Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.05.2021,5091,5784,3199,160,43405,219,81
02.05.2021,2758,5550,1591,154,16023,116,23
03.05.2021,2472,7815,1325,166,17549,122,22
04.05.2021,2576,7728,1671,161,29154,103,30
05.05.2021,6038,14351,1849,374,72373,271,113
06.05.2021,8404,19453,3080,379,94479,353,185
07.05.2021,8710,19408,2544,370,87641,374,193
08.05.2021,5327,9181,2599,193,46516,244,57
09.05.2021,2817,9002,1414,119,21883,159,31
10.05.2021,2208,8617,1084,119,21974,89,34
11.05.2021,4538,19766,1349,356,71383,180,142
12.05.2021,6813,19507,2569,346,89490,289,160
