Дата,Новых случаев,Выздоровели,Госпитализировано,Летальных случаев,Тестов за сутки,Заболело детей,Заболело врачей
01.03.2021,5336,5194,1410,162,54994,308,218
02.03.2021,7235,5118,3486,185,85043,429,319
03.03.2021,10057,4837,3271,194,83086,611,388
04.03.2021,10155,4149,3355,172,83756,577,345
05.03.2021,9144,3351,3309,156,81333,563,299
06.03.2021,7167,2147,3956,103,46304,466,172
07.03.2021,5572,1734,2136,106,23227,309,123
08.03.2021,3261,975,1837,76,18207,160,54
09.03.2021,6377,5687,1904,219,64126,309,263
10.03.2021,9084,5330,4250,262,106464,442,348
11.03.2021,12946,4630,3843,230,100718,649,450
12.03.2021,13276,4897,3967,243,99270,710,382
13.03.2021,9012,2743,4216,145,60522,491,193
14.03.2021,6792,3491,2497,130,27598,326,109
15.03.2021,9642,6202,2005,264,76509,474,313
16.03.2021,11833,5467,4887,289,121144,609,388
17.03.2021,15053,6514,4376,267,118780,744,425
18.03.2021,15850,4592,4444,262,115274,830,401
19.03.2021,15292,5190,4369,260,114719,797,367
20.03.2021,11145,3877,4838,166,68776,585,199
21.03.2021,7893,2993,3026,157,34129,413,161
22.03.2021,11476,8044,2519,333,88673,606,357
23.03.2021,14174,7386,5438,342,126948,750,434
24.03.2021,16669,6748,4838,362,128615,786,446
25.03.2021,18132,7138,4826,326,119087,923,435
26.03.2021,17424,7124,4747,290,123500,752,420
27.03.2021,11932,3343,5052,203,76335,564,181
28.03.2021,8346,2875,3129,178,39732,344,140
29.03.2021,10533,3576,2597,286,96947,367,250
30.03.2021,11226,6405,5558,407,139224,491,335
31.03.2021,17569,9602,5160,421,132759,813,486
